date,inventory,demand
2022-04-05,309,165
2022-04-06,322,158
2022-04-07,84,26
2022-04-08,322,130
2022-04-09,435,121
2022-04-10,292,282
2022-04-11,376,358
2022-04-12,381,238
2022-04-13,433,279
2022-04-14,241,108
2022-04-15,136,32
2022-04-16,445,183
2022-04-17,396,365
2022-04-18,319,47
2022-04-19,60,41
2022-04-20,164,51
2022-04-21,320,107
2022-04-22,407,405
2022-04-23,291,212
2022-04-24,81,14
2022-04-25,52,45
2022-04-26,489,452
2022-04-27,422,288
2022-04-28,348,334
2022-04-29,319,27
2022-04-30,162,149
2022-05-01,125,0
2022-05-02,193,1
2022-05-03,231,18
2022-05-04,383,127
2022-05-05,252,49
2022-05-06,253,26
2022-05-07,334,39
2022-05-08,103,6
2022-05-09,195,173
2022-05-10,118,19
2022-05-11,185,19
2022-05-12,426,10
2022-05-13,496,357
2022-05-14,470,226
2022-05-15,392,213
2022-05-16,179,121
2022-05-17,264,191
2022-05-18,373,148
2022-05-19,81,17
2022-05-20,340,75
2022-05-21,494,314
2022-05-22,175,46
2022-05-23,114,66
2022-05-24,459,173
2022-05-25,78,68
2022-05-26,211,200
2022-05-27,94,32
2022-05-28,434,393
2022-05-29,94,11
2022-05-30,372,307
2022-05-31,111,109
2022-06-01,461,198
2022-06-02,386,385
2022-06-03,53,25
2022-06-04,72,48
2022-06-05,265,164
2022-06-06,219,113
2022-06-07,256,237
2022-06-08,209,90
2022-06-09,403,259
2022-06-10,163,158
2022-06-11,374,254
2022-06-12,469,315
2022-06-13,91,58
2022-06-14,133,109
2022-06-15,124,98
2022-06-16,290,260
2022-06-17,289,53
2022-06-18,390,31
2022-06-19,478,253
2022-06-20,338,205
2022-06-21,403,191
2022-06-22,264,238
2022-06-23,492,268
2022-06-24,321,95
2022-06-25,454,202
2022-06-26,74,8
2022-06-27,421,48
2022-06-28,332,256
2022-06-29,58,22
2022-06-30,452,151
2022-07-01,372,35
2022-07-02,61,8
2022-07-03,149,92
2022-07-04,483,143
2022-07-05,104,75
2022-07-06,305,4
2022-07-07,115,70
2022-07-08,145,118
2022-07-09,190,6
2022-07-10,475,56
2022-07-11,429,310
2022-07-12,152,87
2022-07-13,329,194
2022-07-14,399,374
2022-07-15,82,63
2022-07-16,87,39
2022-07-17,63,12
2022-07-18,193,42
2022-07-19,238,179
2022-07-20,392,114
2022-07-21,498,183
2022-07-22,422,88
2022-07-23,315,236
2022-07-24,337,292
2022-07-25,96,34
2022-07-26,212,153
2022-07-27,404,266
2022-07-28,314,312
2022-07-29,304,177
2022-07-30,418,202
2022-07-31,423,322
2022-08-01,73,67
2022-08-02,252,141
2022-08-03,329,224
2022-08-04,405,276
2022-08-05,427,27
2022-08-06,320,229
2022-08-07,420,244
2022-08-08,338,46
2022-08-09,211,208
2022-08-10,278,16
2022-08-11,479,178
2022-08-12,182,153
2022-08-13,77,71
2022-08-14,492,344
2022-08-15,187,156
2022-08-16,348,129
2022-08-17,404,248
2022-08-18,70,4
2022-08-19,192,178
2022-08-20,418,376
2022-08-21,263,176
2022-08-22,248,74
2022-08-23,497,227
2022-08-24,298,42
2022-08-25,260,63
2022-08-26,355,165
2022-08-27,341,225
2022-08-28,65,11
2022-08-29,205,180
2022-08-30,270,164
2022-08-31,278,204
2022-09-01,61,17
2022-09-02,157,155
2022-09-03,179,153
2022-09-04,290,59
2022-09-05,460,64
2022-09-06,385,365
2022-09-07,95,71
2022-09-08,83,48
2022-09-09,220,0
2022-09-10,344,228
2022-09-11,315,276
2022-09-12,388,351
2022-09-13,498,461
2022-09-14,339,89
2022-09-15,470,380
2022-09-16,111,64
2022-09-17,420,183
2022-09-18,334,46
2022-09-19,423,277
2022-09-20,422,138
2022-09-21,355,83
2022-09-22,408,150
2022-09-23,263,31
2022-09-24,468,148
2022-09-25,270,263
2022-09-26,362,248
2022-09-27,103,41
2022-09-28,104,36
2022-09-29,110,108
2022-09-30,214,59
2022-10-01,212,201
2022-10-02,361,336
2022-10-03,139,125
2022-10-04,197,17
2022-10-05,159,25
2022-10-06,118,39
2022-10-07,446,322
2022-10-08,270,169
2022-10-09,91,52
2022-10-10,343,300
2022-10-11,97,12
2022-10-12,498,315
2022-10-13,90,9
2022-10-14,414,317
2022-10-15,58,57
2022-10-16,120,113
2022-10-17,440,353
2022-10-18,403,274
2022-10-19,125,50
2022-10-20,325,116
2022-10-21,99,37
2022-10-22,211,39
2022-10-23,192,136
2022-10-24,367,295
2022-10-25,72,37
2022-10-26,77,39
2022-10-27,304,248
2022-10-28,361,203
2022-10-29,244,97
2022-10-30,352,70
2022-10-31,59,14
2022-11-01,187,171
2022-11-02,414,136
2022-11-03,341,179
2022-11-04,207,161
2022-11-05,386,305
2022-11-06,403,171
2022-11-07,176,112
2022-11-08,244,139
2022-11-09,462,105
2022-11-10,319,30
2022-11-11,101,77
2022-11-12,238,123
2022-11-13,494,79
2022-11-14,99,8
2022-11-15,172,24
2022-11-16,406,137
2022-11-17,57,10
2022-11-18,152,107
2022-11-19,497,156
2022-11-20,268,239
2022-11-21,257,16
2022-11-22,397,63
2022-11-23,211,149
2022-11-24,113,108
2022-11-25,269,268
2022-11-26,142,72
2022-11-27,191,123
2022-11-28,356,10
2022-11-29,210,18
2022-11-30,500,381
2022-12-01,256,191
2022-12-02,395,289
2022-12-03,186,7
2022-12-04,485,350
2022-12-05,174,6
2022-12-06,468,177
2022-12-07,191,90
2022-12-08,348,281
2022-12-09,311,311
2022-12-10,456,80
2022-12-11,119,15
2022-12-12,264,27
2022-12-13,87,41
2022-12-14,261,94
2022-12-15,201,114
2022-12-16,341,301
2022-12-17,362,107
2022-12-18,132,72
2022-12-19,196,43
2022-12-20,208,102
2022-12-21,246,167
2022-12-22,304,279
2022-12-23,455,77
2022-12-24,87,40
2022-12-25,99,86
2022-12-26,74,51
2022-12-27,448,164
2022-12-28,486,48
2022-12-29,240,28
2022-12-30,456,83
2022-12-31,439,378
2023-01-01,425,182
2023-01-02,358,79
2023-01-03,284,236
2023-01-04,324,270
2023-01-05,376,136
2023-01-06,422,14
2023-01-07,166,33
2023-01-08,146,58
2023-01-09,66,46
2023-01-10,120,27
2023-01-11,333,259
2023-01-12,86,25
2023-01-13,98,86
2023-01-14,273,54
2023-01-15,392,377
2023-01-16,369,156
2023-01-17,251,38
2023-01-18,484,137
2023-01-19,158,82
2023-01-20,316,168
2023-01-21,400,63
2023-01-22,221,125
2023-01-23,130,69
2023-01-24,445,407
2023-01-25,331,3
2023-01-26,467,167
2023-01-27,174,88
2023-01-28,240,106
2023-01-29,296,221
2023-01-30,419,65
2023-01-31,257,186
2023-02-01,191,91
2023-02-02,195,169
2023-02-03,279,120
2023-02-04,142,30
2023-02-05,329,64
2023-02-06,280,199
2023-02-07,464,151
2023-02-08,490,145
2023-02-09,480,245
2023-02-10,376,130
2023-02-11,443,354
2023-02-12,384,336
2023-02-13,348,341
2023-02-14,253,122
2023-02-15,308,246
2023-02-16,293,169
2023-02-17,464,173
2023-02-18,110,74
2023-02-19,454,23
2023-02-20,438,86
2023-02-21,198,85
2023-02-22,133,87
2023-02-23,317,237
2023-02-24,183,62
2023-02-25,127,82
2023-02-26,464,247
2023-02-27,420,63
2023-02-28,270,265
2023-03-01,461,24
2023-03-02,399,177
2023-03-03,365,269
2023-03-04,226,168
2023-03-05,278,153
2023-03-06,479,441
2023-03-07,499,35
2023-03-08,349,261
2023-03-09,80,18
2023-03-10,359,132
2023-03-11,304,85
2023-03-12,449,386
2023-03-13,91,12
2023-03-14,186,12
2023-03-15,72,29
2023-03-16,57,53
2023-03-17,413,107
2023-03-18,104,54
2023-03-19,339,233
2023-03-20,280,18
2023-03-21,318,38
2023-03-22,341,262
2023-03-23,126,22
2023-03-24,471,239
2023-03-25,495,382
2023-03-26,447,289
2023-03-27,279,90
2023-03-28,366,339
2023-03-29,178,159
2023-03-30,166,35
2023-03-31,351,171
2023-04-01,499,308
2023-04-02,470,337
2023-04-03,382,231
2023-04-04,188,91
2023-04-05,370,117
2023-04-06,329,270
2023-04-07,184,41
2023-04-08,78,6
2023-04-09,65,33
2023-04-10,364,28
2023-04-11,64,61
2023-04-12,368,233
2023-04-13,231,15
2023-04-14,486,379
2023-04-15,187,109
2023-04-16,330,108
2023-04-17,332,82
2023-04-18,92,58
2023-04-19,66,18
2023-04-20,419,72
2023-04-21,379,153
2023-04-22,375,114
2023-04-23,396,62
2023-04-24,54,37
2023-04-25,217,165
2023-04-26,438,388
2023-04-27,232,213
2023-04-28,277,145
2023-04-29,217,28
2023-04-30,145,18
2023-05-01,233,6
2023-05-02,324,306
2023-05-03,382,58
2023-05-04,428,191
2023-05-05,153,69
2023-05-06,54,11
2023-05-07,90,33
2023-05-08,135,0
2023-05-09,262,20
2023-05-10,355,197
2023-05-11,73,31
2023-05-12,168,121
2023-05-13,316,267
2023-05-14,107,61
2023-05-15,187,15
2023-05-16,390,261
2023-05-17,237,203
2023-05-18,181,168
2023-05-19,485,165
2023-05-20,494,299
2023-05-21,96,93
2023-05-22,84,69
2023-05-23,68,44
2023-05-24,226,101
2023-05-25,77,75
2023-05-26,208,69
2023-05-27,69,50
2023-05-28,186,113
2023-05-29,201,170
2023-05-30,320,1
2023-05-31,165,121
2023-06-01,244,191
2023-06-02,442,76
2023-06-03,101,96
2023-06-04,206,31
2023-06-05,338,41
2023-06-06,250,157
2023-06-07,390,5
2023-06-08,348,317
2023-06-09,448,45
2023-06-10,227,89
2023-06-11,290,209
2023-06-12,458,6
2023-06-13,84,60
2023-06-14,284,281
2023-06-15,227,67
2023-06-16,191,138
2023-06-17,177,51
2023-06-18,462,425
2023-06-19,321,181
2023-06-20,67,47
2023-06-21,269,176
2023-06-22,327,286
2023-06-23,253,55
2023-06-24,208,65
2023-06-25,77,55
2023-06-26,492,286
2023-06-27,107,62
2023-06-28,199,183
2023-06-29,406,148
2023-06-30,152,61
2023-07-01,291,263
2023-07-02,281,163
2023-07-03,330,42
2023-07-04,113,37
2023-07-05,425,147
2023-07-06,279,25
2023-07-07,486,113
2023-07-08,289,170
2023-07-09,79,77
2023-07-10,239,80
2023-07-11,214,26
2023-07-12,145,133
2023-07-13,340,157
2023-07-14,325,153
2023-07-15,168,46
2023-07-16,322,202
2023-07-17,164,83
2023-07-18,201,183
2023-07-19,445,334
2023-07-20,485,346
2023-07-21,237,16
2023-07-22,451,141
2023-07-23,400,114
2023-07-24,258,247
2023-07-25,416,169
2023-07-26,367,153
2023-07-27,475,150
2023-07-28,492,346
2023-07-29,76,23
2023-07-30,417,382
2023-07-31,94,6
2023-08-01,427,109
2023-08-02,315,154
2023-08-03,500,435
2023-08-04,65,55
2023-08-05,492,23
2023-08-06,201,187
2023-08-07,125,14
2023-08-08,435,335
2023-08-09,470,455
2023-08-10,356,176
2023-08-11,422,90
2023-08-12,140,46
2023-08-13,168,145
2023-08-14,386,72
2023-08-15,408,289
2023-08-16,64,50
2023-08-17,241,225
2023-08-18,333,293
2023-08-19,307,39
2023-08-20,184,31
2023-08-21,121,115
2023-08-22,182,143
2023-08-23,438,33
2023-08-24,266,244
2023-08-25,243,92
2023-08-26,271,150
2023-08-27,394,204
2023-08-28,190,189
2023-08-29,105,0
2023-08-30,461,309
2023-08-31,154,64
2023-09-01,131,90
2023-09-02,188,8
2023-09-03,100,62
2023-09-04,73,34
2023-09-05,265,15
2023-09-06,130,127
2023-09-07,457,369
2023-09-08,51,25
2023-09-09,473,105
2023-09-10,463,96
2023-09-11,201,46
2023-09-12,83,10
2023-09-13,179,93
2023-09-14,244,34
2023-09-15,79,18
2023-09-16,499,122
2023-09-17,456,139
2023-09-18,492,262
2023-09-19,441,72
2023-09-20,138,104
2023-09-21,357,309
2023-09-22,444,234
2023-09-23,374,283
2023-09-24,167,28
2023-09-25,264,41
2023-09-26,200,111
2023-09-27,376,351
2023-09-28,296,217
2023-09-29,388,279
2023-09-30,343,64
2023-10-01,70,20
2023-10-02,382,38
2023-10-03,355,204
2023-10-04,162,87
2023-10-05,287,72
2023-10-06,446,415
2023-10-07,111,16
2023-10-08,114,24
2023-10-09,417,110
2023-10-10,56,32
2023-10-11,50,17
2023-10-12,270,77
2023-10-13,245,221
2023-10-14,480,18
2023-10-15,448,31
2023-10-16,113,109
2023-10-17,168,100
2023-10-18,286,108
2023-10-19,352,201
2023-10-20,395,377
2023-10-21,182,56
2023-10-22,170,152
2023-10-23,389,381
2023-10-24,190,20
2023-10-25,116,27
2023-10-26,219,177
2023-10-27,275,20
2023-10-28,277,255
2023-10-29,243,218
2023-10-30,371,362
2023-10-31,433,311
2023-11-01,110,15
2023-11-02,386,139
2023-11-03,242,136
2023-11-04,287,180
2023-11-05,166,21
2023-11-06,54,49
2023-11-07,191,22
2023-11-08,418,324
2023-11-09,94,75
2023-11-10,287,234
2023-11-11,77,59
2023-11-12,142,136
2023-11-13,67,24
2023-11-14,145,56
2023-11-15,82,55
2023-11-16,155,49
2023-11-17,443,416
2023-11-18,388,223
2023-11-19,342,105
2023-11-20,463,365
2023-11-21,304,21
2023-11-22,151,132
2023-11-23,361,226
2023-11-24,103,16
2023-11-25,403,371
2023-11-26,79,52
2023-11-27,204,187
2023-11-28,448,89
2023-11-29,448,110
2023-11-30,417,244
2023-12-01,397,185
2023-12-02,214,200
2023-12-03,482,122
2023-12-04,57,49
2023-12-05,104,66
2023-12-06,242,67
2023-12-07,270,2
2023-12-08,383,263
2023-12-09,176,174
2023-12-10,329,283
2023-12-11,208,143
2023-12-12,354,212
2023-12-13,184,65
2023-12-14,70,49
2023-12-15,246,162
2023-12-16,159,119
2023-12-17,307,55
2023-12-18,440,84
2023-12-19,280,242
2023-12-20,233,136
2023-12-21,472,174
2023-12-22,330,119
2023-12-23,452,188
2023-12-24,455,342
2023-12-25,109,86
2023-12-26,372,46
2023-12-27,256,196
2023-12-28,104,67
2023-12-29,224,168
2023-12-30,208,30
2023-12-31,135,26
2024-01-01,223,40
